,count_dev,count_val,%missing_dev,%missing_val,mean_dev,mean_val,std_dev,std_val,unique_val_dev,unique_val_val
at33b,32566.0,6149.0,0.0,0.0,29373.521893999878,24651.719141323792,34658.412451014316,28792.957514503498,,
rvlr29,32566.0,6149.0,0.0,0.0,1848.0814653319412,1997.4247845178077,3736.476128916717,3857.9808877188225,,
rt21s,32566.0,6149.0,0.0,0.0,23.98602837314991,30.60367539437307,51.72106465336855,68.68013651046171,,
cv04,32566.0,6149.0,0.0,0.0,11.064914327826568,12.46251422995609,39.39933181531184,57.52886832891179,,
br27s,32566.0,6149.0,0.0,0.0,-1.3758214088312966,-1.0307367051553098,2.984793446288438,2.9150070156947114,,
au57s,32566.0,6149.0,0.0,0.0,39.47491248541424,40.61440884696699,263.0349504106345,465.2052196080582,,
inap01,32566.0,6149.0,0.0,0.0,577.5364183504269,539.660107334526,622.153425914524,555.8385137966801,,
at27s,32566.0,6149.0,0.0,0.0,0.3795369403672542,0.7383314360058546,5.636163755863821,5.1104580935485915,,
bc36s,32566.0,6149.0,0.0,0.0,263.00423754836334,221.50609855261018,431.7705404295678,405.4565442495323,,
au51a,32566.0,6149.0,0.0,0.0,44.45998894552601,43.740282972841115,29.43640276314076,29.506023755344394,,
g207s,32566.0,6149.0,0.0,0.0,3201.747067493705,4135.544641405107,23904.623703782836,41021.7473115106,,
in101s,32566.0,6149.0,0.0,0.0,26073.480194067433,21647.343958367215,31848.701988238034,26435.460064331593,,
g250c,32566.0,6149.0,0.0,0.0,3.456242707117853,3.796714912993983,3.5116316377184,3.7151305228435216,,
bc97b,32566.0,6149.0,0.0,0.0,728.3222379168458,1079.2915921288015,3209.785565514199,4480.69762767726,,
of35s,32566.0,6149.0,0.0,0.0,5220.788675305534,5332.884859326719,7197.062268222073,8334.071472308318,,
g095s,32566.0,6149.0,0.0,0.0,12.905944850457532,16.885184582859,45.921242771352546,64.1333254405362,,
rvlr02,32566.0,6149.0,0.0,0.0,18.3150531228889,17.155330948121648,36.88507055761408,37.000309541363585,,
